,0
0,1000.0
1,989.4789209918523
2,849.0204947612843
3,950.7093735275049
4,979.1877155360133
5,980.2976377561073
6,596.3218557083386
7,889.3740339937999
8,738.212730496026
9,976.9519714701498
10,897.5032018479244
11,886.3526001597583
12,974.2471244004698
13,956.0903756718401
14,970.6964375375513
15,956.668435884161
16,899.4943850342326
17,750.5945221253328
18,976.6028979926601
19,909.5635012942475
20,955.306198877221
21,904.6081228635389
22,969.8093551313144
23,922.8001080762784
24,926.2416088053182
25,972.0011104009252
26,902.9224642318216
27,974.9591451070614
28,630.5462346379394
29,855.264189477095
30,938.2076978327216
31,779.2199713013244
32,968.3143675264139
33,963.8882749360307
34,878.5469849733282
35,958.9220508270879
36,897.3803067356235
37,842.878902239936
38,856.4567469634814
39,969.5225092623753
40,944.5328567397748
41,872.4059302509517
42,643.1643671017258
43,966.4398892878676
44,971.089035821021
45,609.8320748594036
46,785.8022960751022
47,959.2285309284892
48,925.3794969624626
49,979.3585660398625
50,958.1269354968181
51,979.6182932648422
52,975.4075087293982
53,976.5657223379819
54,913.9231743712969
55,973.0494852193953
56,963.6811042465839
57,978.2145990909077
58,824.6858894361062
59,944.8552688921709
60,970.2234156670473
61,975.7294281901401
62,979.2836465017826
63,930.8189561748628
64,932.0240459602413
65,981.4477233482095
66,954.9708479209049
67,928.6832604817137
68,909.0706086574099
69,837.7637350371355
70,889.8413197770857
71,961.8681624464658
72,975.1030429470985
73,967.2683512127301
74,979.4256294842882
75,780.762523117752
76,978.6630657895898
77,977.8019716764325
78,978.7318898163392
79,974.985001528999
80,935.1282026098627
81,953.58147345382
82,975.2003187453032
83,829.2818438398091
84,973.9668521821419
85,946.291232831149
86,930.8589052227272
87,975.8123824308886
88,961.7468762749897
89,949.7630542588595
90,928.2717419704867
91,976.2095139014687
92,977.4464763874145
93,765.4264200988745
94,963.1282946597479
95,844.7353997220837
96,977.9147531616354
97,858.1381783018677
98,906.6032657010189
99,956.6719543621115
